Season,HomeTeam,AwayTeam,FullTimeHomeGoals,FullTimeAwayGoals,FullTimeResult,HalfTimeHomeGoals,HalfTimeAwayGoals,HalfTimeResult,HomeShots,AwayShots,HomeShotsOnTarget,AwayShotsOnTarget,HomeCorners,AwayCorners,HomeFouls,AwayFouls,HomeYellowCards,AwayYellowCards,HomeRedCards,AwayRedCards
12,40,0,2,1,2,2,0,2,11,10,5,6,4,6,17,13,3,1,0,0
12,1,26,0,1,0,0,1,0,10,20,5,12,6,5,10,14,2,0,0,0
12,30,36,0,0,1,0,0,1,3,15,2,7,1,7,9,10,2,3,0,0
12,33,38,3,1,2,1,1,1,15,7,8,3,4,5,4,19,0,2,0,0
12,34,1,1,2,0,1,2,0,10,18,4,7,6,1,8,7,2,3,0,0
12,42,39,2,1,2,1,1,1,12,9,6,4,3,3,9,10,1,1,0,0
12,24,40,3,2,2,1,1,1,10,15,4,9,1,4,9,8,1,1,0,0
12,29,37,2,1,2,0,0,1,14,7,6,4,14,4,10,12,1,1,0,0
12,1,33,3,2,2,1,1,1,10,18,6,11,9,6,16,10,3,2,0,0
12,17,26,2,0,2,1,0,2,11,17,5,11,13,6,15,10,4,3,1,0
12,27,34,1,0,2,1,0,2,17,5,8,1,5,4,5,16,0,2,0,0
12,36,24,3,1,2,2,1,2,17,8,12,6,7,5,10,10,0,1,0,0
12,37,42,0,0,1,0,0,1,13,9,5,5,7,1,15,11,2,2,0,0
12,39,0,0,2,0,0,0,1,9,15,2,11,3,7,2,7,1,1,0,0
12,13,43,2,0,2,1,0,2,24,15,14,9,5,5,5,14,0,2,0,0
12,38,30,1,1,1,1,1,1,16,7,8,3,5,9,11,11,1,3,0,1
12,40,18,0,1,0,0,0,1,12,6,6,2,5,5,10,5,1,1,0,0
12,44,29,2,1,2,1,0,2,13,9,10,4,7,3,7,12,1,1,0,0
12,0,34,4,1,2,1,0,2,23,4,14,2,11,3,9,14,0,1,0,0
12,17,37,1,0,2,1,0,2,15,10,9,5,4,3,13,18,1,3,0,0
12,26,29,4,0,2,2,0,2,19,5,11,1,9,2,6,8,0,2,0,0
12,36,13,2,1,2,2,1,2,13,7,8,4,7,7,12,6,2,1,0,0
12,38,27,0,1,0,0,1,0,9,10,4,6,3,6,11,9,3,1,0,0
12,39,40,1,2,0,0,2,0,11,9,3,7,5,2,5,10,2,4,0,0
12,43,42,3,1,2,2,0,2,14,17,8,11,5,3,10,13,1,1,0,1
12,44,30,1,0,2,0,0,1,13,9,6,5,10,3,13,9,1,2,0,0
12,1,24,1,2,0,1,0,2,10,16,7,12,7,8,9,8,1,1,0,0
12,18,33,3,2,2,3,1,2,9,19,5,11,3,6,11,7,2,1,1,0
12,30,39,2,2,1,1,1,1,12,16,9,9,2,5,8,16,5,3,0,0
12,34,36,0,2,0,0,1,0,8,12,3,4,8,4,5,11,0,0,0,0
12,37,1,1,3,0,0,1,0,6,11,2,8,4,2,16,11,3,1,0,0
12,42,0,1,2,0,0,1,0,16,11,5,6,6,4,7,15,2,4,0,1
12,13,38,2,1,2,0,1,0,14,7,7,3,8,5,9,15,0,2,0,0
12,24,43,0,0,1,0,0,1,19,10,12,4,12,2,8,4,0,1,0,0
12,29,18,1,0,2,0,0,1,20,5,10,3,10,3,13,11,2,2,0,0
12,33,44,1,1,1,0,0,1,6,16,2,10,2,10,9,12,2,3,1,0
12,40,17,2,2,1,1,1,1,19,9,10,5,7,6,14,8,1,1,0,0
12,27,26,1,2,0,0,0,1,16,9,7,5,9,4,13,18,3,5,0,0
12,0,30,3,1,2,0,0,1,10,5,7,5,9,3,8,10,1,2,0,0
12,1,18,1,1,1,0,0,1,15,8,7,3,8,5,5,15,1,2,0,0
12,17,33,2,0,2,1,0,2,14,8,10,5,13,5,6,12,3,3,0,0
12,34,24,0,0,1,0,0,1,7,26,5,15,4,9,9,8,2,1,0,0
